Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.10505161832136
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,93316
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.1945132257907
Argentina,ARG,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,10.6683998553206
Argentina,ARG,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,52.7267666905217
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,30221.4976888753
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.395
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.89754023690244
Argentina,ARG,"Population, total",SP.POP.TOTL,45538401
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.6956882008852
Armenia,ARM,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,9.90988450563072
Armenia,ARM,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,13.0960733549578
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,21534.030536117
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.4658536585366
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.8399963378906
Armenia,ARM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.43869996070862
Armenia,ARM,"Population, total",SP.POP.TOTL,2964300
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.8351492675589
Aruba,ABW,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,30.7454723493872
Aruba,ABW,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,67.3173558784974
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,46574.3574197653
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.353
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Aruba,ABW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Aruba,ABW,"Population, total",SP.POP.TOTL,107359
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.4866955653765
Australia,AUS,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,6.12272392365969
Australia,AUS,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,11.6335324538363
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,72272.7092136683
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.0512195121951
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Australia,AUS,"Population, total",SP.POP.TOTL,26659922
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.2265358276021
Austria,AUT,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,8.16326342188619
Austria,AUT,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,8.03478088149338
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,73544.6567230487
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.5414634146342
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Austria,AUT,"Population, total",SP.POP.TOTL,9131761
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.5075350483702
Azerbaijan,AZE,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,14.5216014154835
Azerbaijan,AZE,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,2.83565108634186
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,23651.5994852756
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.429
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.7799987792969
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.66400003433227
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10153958
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
"Bahamas, The",BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.3213799173676
"Bahamas, The",BHS,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,22.1072116100899
"Bahamas, The",BHS,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,42.0246555668094
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,39090.1214737976
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.552
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.74191570247934
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,399440
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Bahrain,BHR,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,13.9121235503305
Bahrain,BHR,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,8.33811493935556
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,64171.0857359052
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.284
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,97.8499984741211
Bahrain,BHR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.88778167912993
Bahrain,BHR,"Population, total",SP.POP.TOTL,1577059
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.5
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.1578465036834
Bangladesh,BGD,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..
Bangladesh,BGD,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9147.7775066555
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.672
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.16213826344701
Bangladesh,BGD,"Population, total",SP.POP.TOTL,171466990
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Barbados,BRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.4235740235775
Barbados,BRB,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,22.1260594916239
Barbados,BRB,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,46.0692175316982
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,23660.4047512929
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.178
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Barbados,BRB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.7754499912262
Barbados,BRB,"Population, total",SP.POP.TOTL,282336
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.8146420666327
Belarus,BLR,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..
Belarus,BLR,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,30834.1773668111
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.1837804878049
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.9514799118042
Belarus,BLR,"Population, total",SP.POP.TOTL,9178298
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.551492636772
Belgium,BEL,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,9.59808316401005
Belgium,BEL,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,11.9094769544787
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,71946.1447190292
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.3975609756098
Belgium,BEL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Belgium,BEL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Belgium,BEL,"Population, total",SP.POP.TOTL,11779946
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.6
Belize,BLZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,41.9459437504976
Belize,BLZ,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,18.7499901307148
Belize,BLZ,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,95.1691694031576
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13729.892058721
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.566
Belize,BLZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Belize,BLZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.23143005371094
Belize,BLZ,"Population, total",SP.POP.TOTL,411106
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,57
Benin,BEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.7457922964593
Benin,BEN,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,32.7370696077588
Benin,BEN,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,37.3824789832326
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4129.9661200142
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.774
Benin,BEN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
