"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Albania","2023","Fruit, edible; apples, fresh","Import","8626944.685","12218742.4","Weight in kilograms","12218742.4"
"Albania","2023","Fruit, edible; pears, fresh","Import","2317936.578","3426877.5","Weight in kilograms","3426877.5"
"Albania","2023","Fruit, edible; quinces, fresh","Import","650537.577","972353.2","Weight in kilograms","972353.2"
"Albania","2023","Fruit, edible; apricots, fresh","Export","10269.083","14630","Weight in kilograms","14630"
"Albania","2023","Fruit, edible; apricots, fresh","Import","557049.347","878359.81","Weight in kilograms","878359.81"
"Albania","2023","Fruit, edible; cherries, other than sour cherries (Prunus cerasus), fresh","Import","148286.006","163651","Weight in kilograms","163651"
"Albania","2023","Fruit, edible; peaches, including nectarines, fresh","Export","402929.661","429054","Weight in kilograms","429054"
"Albania","2023","Fruit, edible; peaches, including nectarines, fresh","Import","1661872.347","3507242.99","Weight in kilograms","3507242.99"
"Albania","2023","Fruit, edible; plums and sloes, fresh","Import","870901.062","1688483.3","Weight in kilograms","1688483.3"
"Albania","2023","Fruit, edible; strawberries, fresh","Export","5913989.139","3686396","Weight in kilograms","3686396"
"Albania","2023","Fruit, edible; strawberries, fresh","Import","91216.534","40561","Weight in kilograms","40561"
"Albania","2023","Fruit, edible; raspberries, blackberries, mulberries, and loganberries, fresh","Export","81519.278","133038","Weight in kilograms","133038"
"Albania","2023","Fruit, edible; raspberries, blackberries, mulberries, and loganberries, fresh","Import","84731.695","14098.35","Weight in kilograms","14098.35"
"Albania","2023","Fruit, edible; cranberries, bilberries and other fruits of the genus vaccinium, fresh","Import","1527.18","935","Weight in kilograms","935"
"Albania","2023","Fruit, edible; kiwifruit, fresh","Export","300348","269816","Weight in kilograms","269816"
"Albania","2023","Fruit, edible; kiwifruit, fresh","Import","1034676.188","1463601.65","Weight in kilograms","1463601.65"
"Albania","2023","Fruit, edible; persimmons, fresh","Import","353444.816","841247","Weight in kilograms","841247"
"Albania","2023","Fruit, edible; fruits n.e.c. in heading no. 0801 to 0810, fresh","Import","503609.258","551630.4","Weight in kilograms","551630.4"
"Albania","2023","Fruit, edible; raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries, uncooked or cooked, whether or not containing added sugar or other sweetening matter","Export","64113.208","49600","Weight in kilograms","49600"
"Albania","2023","Fruit, edible; raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries, uncooked or cooked, whether or not containing added sugar or other sweetening matter","Import","7662.338","1675.25","Weight in kilograms","1675.25"
"Albania","2023","Fruit, edible; fruit and nuts n.e.c. in heading no. 0811, uncooked or cooked, frozen whether or not containing added sugar or other sweetening matter","Import","52002.916","13374.9","Weight in kilograms","13374.9"
"Albania","2023","Fruit, edible; apricots, dried","Import","123391.292","22418","Weight in kilograms","22418"
"Albania","2023","Fruit, edible; prunes, dried","Import","326491.292","103559.9","Weight in kilograms","103559.9"
"Albania","2023","Fruit, edible; apples, dried","Import","2167.712","99.05","Weight in kilograms","99.05"
"Albania","2023","Fruit, edible; fruit n.e.c. in heading no. 0812, dried","Export","623029.197","119632","Weight in kilograms","119632"
"Albania","2023","Fruit, edible; fruit n.e.c. in heading no. 0812, dried","Import","61834","7091.247","Weight in kilograms","7091.247"
"Albania","2023","Nuts, edible; mixtures of nuts or dried fruits of chapter 08","Import","89223.53","19493.42","Weight in kilograms","19493.42"
"Albania","2023","Peel; of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water and other preservative solutions","Import","5906.414","4935","Weight in kilograms","4935"
"Andorra","2023","Nuts, edible; coconuts, desiccated","Import","2577.804","560.75","Weight in kilograms","560.75"
"Andorra","2023","Nuts, edible; coconuts, fresh or dried, other than desiccated or in the inner shell (endocarp)","Import","692.271","171.6","Weight in kilograms","171.6"
"Andorra","2023","Nuts, edible; brazil nuts, fresh or dried, shelled","Import","236.831","21.9","Weight in kilograms","21.9"
